Unnamed: 0,time,heading
56301,1126.02,259.2145529998438
56302,1126.04,259.22155293322027
56303,1126.06,259.22569867495537
56304,1126.08,259.222665653418
56305,1126.1,259.2254801955258
56306,1126.12,259.2221764801353
56307,1126.14,259.2368087136676
56308,1126.16,259.22087252106337
56309,1126.18,259.23254765301294
56310,1126.2,259.2256995415219
56311,1126.22,259.22442615430657
56312,1126.24,259.2129002389036
56313,1126.26,259.2196152247265
56314,1126.28,259.2288902289866
56315,1126.3,259.2196278747186
56316,1126.32,259.2372875288305
56317,1126.34,259.2317956618273
56318,1126.36,259.2255791245749
56319,1126.38,259.23180112461426
56320,1126.4,259.2422559256401
56321,1126.42,259.243673722489
56322,1126.44,259.2477286086187
56323,1126.46,259.260036262036
56324,1126.48,259.2550072761365
56325,1126.5,259.2606276024026
56326,1126.52,259.26189688674793
56327,1126.54,259.2477371944218
56328,1126.56,259.25724348984403
56329,1126.58,259.2508816949316
56330,1126.6,259.2507541650063
56331,1126.62,259.24628190717067
56332,1126.64,259.24393384604736
56333,1126.66,259.24310157458507
56334,1126.68,259.2498711270648
56335,1126.7,259.2498941433069
56336,1126.72,259.25912187951326
56337,1126.74,259.255192728508
56338,1126.76,259.2671597783875
56339,1126.78,259.2606306694121
56340,1126.8,259.2584792158199
56341,1126.82,259.2438232648614
56342,1126.84,259.24760761595616
56343,1126.86,259.23745877898455
56344,1126.88,259.24216108050314
56345,1126.9,259.23134579048104
56346,1126.92,259.238191784577
56347,1126.94,259.2313868044973
56348,1126.96,259.2434850642728
56349,1126.98,259.245339157948
56350,1127.0,259.2611098558346
56351,1127.02,259.2560273555635
56352,1127.04,259.2509305945724
56353,1127.06,259.2734512208812
56354,1127.08,259.2654657928333
56355,1127.1,259.27092270356275
56356,1127.12,259.2614930281766
56357,1127.14,259.2675964094085
56358,1127.16,259.2615683393291
56359,1127.18,259.25707833381347
56360,1127.2,259.2567020867657
56361,1127.22,259.27061033110255
56362,1127.24,259.2766627504552
56363,1127.26,259.2761288913804
56364,1127.28,259.2686388190152
56365,1127.3,259.27261530438653
56366,1127.32,259.27391544778186
56367,1127.34,259.26267948466256
56368,1127.36,259.2627064920871
56369,1127.38,259.2705209288124
56370,1127.4,259.2747821139207
56371,1127.42,259.2797703059296
56372,1127.44,259.2740076637126
56373,1127.46,259.2841422643012
56374,1127.48,259.27952979744566
56375,1127.5,259.2752397307333
56376,1127.52,259.2736291321884
56377,1127.54,259.2761099049294
56378,1127.56,259.29210373318017
56379,1127.58,259.2869902860502
56380,1127.6,259.2950661129188
56381,1127.62,259.294492226756
56382,1127.64,259.2904326472353
56383,1127.66,259.2905447081371
56384,1127.68,259.2903889550915
56385,1127.7,259.28879050742944
56386,1127.72,259.28950484556856
56387,1127.74,259.2751540906823
56388,1127.76,259.2724545452467
56389,1127.78,259.2578652989254
56390,1127.8,259.26670182551425
56391,1127.82,259.2712337911628
56392,1127.84,259.2638715129089
56393,1127.86,259.2822076701541
56394,1127.88,259.2677536504175
56395,1127.9,259.2869410967403
56396,1127.92,259.28748368423146
56397,1127.94,259.2888426255421
56398,1127.96,259.2920272297166
56399,1127.98,259.2942767234006
56400,1128.0,259.29671872816635
56401,1128.02,259.2948927411134
56402,1128.04,259.2962607997899
56403,1128.06,259.2974263934101
56404,1128.08,259.2893876512944
56405,1128.1,259.2811991716268
56406,1128.12,259.27168574832325
56407,1128.14,259.28102062625146
56408,1128.16,259.26969139689726
56409,1128.18,259.2637958925249
56410,1128.2,259.27525115514834
56411,1128.22,259.27330019333874
56412,1128.24,259.2786655477505
56413,1128.26,259.2762118354533
56414,1128.28,259.28524400114725
56415,1128.3,259.27727277537355
56416,1128.32,259.29187378608185
56417,1128.34,259.3000540235119
56418,1128.36,259.2887434288716
56419,1128.38,259.2924084307555
56420,1128.4,259.2968340070884
56421,1128.42,259.2805946739876
56422,1128.44,259.29088407238413
56423,1128.46,259.28374356462024
56424,1128.48,259.27083800156583
56425,1128.5,259.27135775242283
56426,1128.52,259.2701551915393
56427,1128.54,259.2673414976101
56428,1128.56,259.2775046351342
56429,1128.58,259.2761632817753
56430,1128.6,259.2772627000685
56431,1128.62,259.27483449590375
56432,1128.64,259.2844893857572
56433,1128.66,259.3008202381779
56434,1128.68,259.30715187274734
56435,1128.7,259.3071642082957
56436,1128.72,259.3129533306968
56437,1128.74,259.31377234542305
56438,1128.76,259.3046936602108
56439,1128.78,259.3010726913955
56440,1128.8,259.2851765976706
56441,1128.82,259.28950720203744
56442,1128.84,259.27120189001533
56443,1128.86,259.2666887973473
56444,1128.88,259.2436474793876
56445,1128.9,259.25332886855625
56446,1128.92,259.23553235670454
56447,1128.94,259.23411737864046
56448,1128.96,259.23651379769905
56449,1128.98,259.2451688265572
56450,1129.0,259.255908996968
56451,1129.02,259.27614357804623
56452,1129.04,259.2742927784016
56453,1129.06,259.28853156860384
56454,1129.08,259.2817363328971
56455,1129.1,259.2856082944285
56456,1129.12,259.28611046730305
56457,1129.14,259.2843769541484
56458,1129.16,259.28754511241453
56459,1129.18,259.2783846260762
